time,duration,poserror,pulsestostop,delay,pos,speed,accel,initial delay
141194518,418,-248.000000,247,399.775085,-6810,2501.406494,12598.425781,6350.000000
141203399,417,-248.000000,248,400.565247,-6831,2496.472168,12598.425781,6350.000000
141212281,418,-248.000000,247,399.740906,-6852,2501.620361,12598.425781,6350.000000
141221144,400,-248.000000,248,400.530945,-6873,2496.686035,12598.425781,6350.000000
141230001,404,-248.000000,247,399.706848,-6894,2501.833496,12598.425781,6350.000000
141238844,405,-248.000000,248,400.496735,-6915,2496.899170,12598.425781,6350.000000
141247699,418,-248.000000,247,399.673035,-6936,2502.045166,12598.425781,6350.000000
141256562,418,-248.000000,248,400.462677,-6957,2497.111572,12598.425781,6350.000000
141265439,417,-248.000000,247,399.638947,-6978,2502.258545,12598.425781,6350.000000
141274326,418,-248.000000,248,400.428345,-6999,2497.325684,12598.425781,6350.000000
141283179,401,-248.000000,249,399.605011,-7020,2502.471191,12598.425781,6350.000000
141291982,404,-249.000000,248,398.786621,-7041,2507.606689,12598.425781,6350.000000
141300843,424,-249.000000,249,399.571045,-7062,2502.683838,12598.425781,6350.000000
141309681,418,-248.000000,248,400.360138,-7083,2497.751221,12598.425781,6350.000000
141318562,418,-248.000000,247,399.537201,-7104,2502.895752,12598.425781,6350.000000
141327439,417,-248.000000,248,400.326050,-7125,2497.963867,12598.425781,6350.000000
141336326,418,-248.000000,247,399.503204,-7146,2503.108887,12598.425781,6350.000000
141345159,401,-249.000000,248,398.685455,-7167,2508.242920,12598.425781,6350.000000
141353908,410,-249.000000,249,399.469452,-7188,2503.320312,12598.425781,6350.000000
141362799,418,-248.000000,248,400.257751,-7209,2498.390137,12598.425781,6350.000000
141371679,418,-247.000000,247,401.050903,-7230,2493.448975,12598.425781,6350.000000
141380589,418,-247.000000,246,400.223511,-7251,2498.603760,12598.425781,6350.000000
141389479,418,-246.000000,245,401.016418,-7272,2493.663574,12598.425781,6350.000000
141398420,418,-246.000000,246,401.813995,-7293,2488.713623,12598.425781,6350.000000
141407326,418,-246.000000,245,400.981934,-7314,2493.877930,12598.425781,6350.000000
141416200,404,-247.000000,246,400.155029,-7335,2499.031494,12598.425781,6350.000000
141425081,402,-247.000000,247,400.947510,-7356,2494.092041,12598.425781,6350.000000
141433963,401,-247.000000,246,400.120819,-7377,2499.245117,12598.425781,6350.000000
141442860,405,-247.000000,247,400.913147,-7398,2494.305908,12598.425781,6350.000000
141451744,419,-247.000000,246,400.086609,-7419,2499.458740,12598.425781,6350.000000
141460671,418,-247.000000,247,400.878693,-7440,2494.520264,12598.425781,6350.000000
141469582,419,-247.000000,246,400.052399,-7461,2499.672607,12598.425781,6350.000000
141478498,417,-247.000000,246,400.844238,-7482,2494.734619,12598.425781,6350.000000
141487379,417,-248.000000,247,400.018219,-7503,2499.886230,12598.425781,6350.000000
141496326,418,-248.000000,248,400.809875,-7524,2494.948486,12598.425781,6350.000000
141505201,404,-248.000000,247,399.984070,-7545,2500.099609,12598.425781,6350.000000
141514081,402,-248.000000,248,400.775513,-7566,2495.162354,12598.425781,6350.000000
141522963,401,-247.000000,247,401.571655,-7587,2490.215576,12598.425781,6350.000000
141531901,405,-248.000000,248,400.741058,-7608,2495.376953,12598.425781,6350.000000
141540799,419,-248.000000,247,399.915619,-7629,2500.527588,12598.425781,6350.000000
141549743,417,-248.000000,248,400.706665,-7650,2495.591064,12598.425781,6350.000000
141558588,403,-248.000000,247,399.881409,-7671,2500.741455,12598.425781,6350.000000
141567459,418,-248.000000,248,400.672272,-7692,2495.805420,12598.425781,6350.000000
141576349,418,-248.000000,249,399.847290,-7713,2500.954834,12598.425781,6350.000000
141585253,418,-249.000000,248,399.027405,-7734,2506.093506,12598.425781,6350.000000
141594144,400,-249.000000,249,399.813293,-7755,2501.167480,12598.425781,6350.000000
